Life expectancy at birth (years),Published,2012,Europe,High-income,Iceland,Female,84,84.0,,,
Life expectancy at age 60 (years),Published,2000,Europe,High-income,Iceland,Female,24,24.0,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Israel,Male,75,75.0,,,
Life expectancy at age 60 (years),Published,2000,Europe,High-income,Israel,Male,21,21.0,,,
Life expectancy at age 60 (years),Published,2012,Europe,High-income,Israel,Both sexes,24,24.0,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Italy,Male,74,74.0,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Italy,Male,77,77.0,,,
Life expectancy at age 60 (years),Published,2000,Europe,High-income,Italy,Male,21,21.0,,,
Life expectancy at age 60 (years),Published,2012,Europe,High-income,Italy,Both sexes,25,25.0,,,
Life expectancy at age 60 (years),Published,2012,Western Pacific,High-income,Japan,Female,29,29.0,,,
Life expectancy at age 60 (years),Published,1990,Western Pacific,High-income,Japan,Both sexes,23,23.0,,,
Life expectancy at age 60 (years),Published,2000,Western Pacific,High-income,Japan,Both sexes,25,25.0,,,
Life expectancy at birth (years),Published,1990,Western Pacific,High-income,Republic of Korea,Female,76,76.0,,,
Life expectancy at birth (years),Published,1990,Western Pacific,High-income,Republic of Korea,Both sexes,72,72.0,,,
Life expectancy at age 60 (years),Published,2000,Western Pacific,High-income,Republic of Korea,Female,23,23.0,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,High-income,Kuwait,Male,74,74.0,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,High-income,Kuwait,Female,76,76.0,,,
Life expectancy at age 60 (years),Published,1990,Eastern Mediterranean,High-income,Kuwait,Female,18,18.0,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Luxembourg,Male,75,75.0,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Luxembourg,Both sexes,82,82.0,,,
Life expectancy at age 60 (years),Published,2000,Europe,High-income,Luxembourg,Male,20,20.0,,,
